,CENSUS_TRACT,TOT_POP,TOT_H,TOT_WA,TOT_BA,TOT_IA,TOT_AA,TOT_NA,TOT_OTHER,TOT_TOM,TOT_18+,TOT_H_18+,TOT_WA_18+,TOT_BA_18+,TOT_IA_18+,TOT_AA_18+,TOT_NA_18+,TOT_OTHER_18+,TOT_TOM_18+,TOT_HOUSE_UNITS,OCC_HOUSE_UNITS,VAC_HOUSE_UNITS,TOT_MED_AGE,PCT_M,M_MED_AGE,PCT_F,F_MED_AGE,AVG_HOUSE_SIZE,AVG_FAM_SIZE,HOME_VAC_RATE,RENT_VAC_RATE,PCT_OCC_OWNER,AVG_H_SIZE_OWNER,PCT_OCC_RENTER,AVG_H_SIZE_RENTER,PCT_LABOR,PCT_EMP,PCT_UNEMP,MHI_TOT,MHI_WA,MHI_BA,MHI_AA,MHI_H,TOT_FAM,PCT_FAM_POV,TOT_FAM_MARRIED,PCT_FAM_MARRIED_POV,TOT_FAM_F_ONLY,PCT_FAM_F_ONLY_POV,POV_RATE_NO_GED,POV_RATE_GED,POV_RATE_SOME_COL,POV_RATE_BACH_PLUS,MHI_OTHER,PCT_TOT_POP,PCT_H,PCT_WA,PCT_BA,PCT_AA,PCT_OTHER,PCT_TOT_POP_18,PCT_H_18,PCT_WA_18,PCT_BA_18,PCT_AA_18,PCT_OTHER_18,PCT_OCC_HOUSE,PCT_VAC_HOUSE,PCT_FAM,PCT_FAM_MARRIED,PCT_FAM_F_ONLY
10,12001000901,2877,370,1530,305,4,569,1,20,78,2735,344,1495,291,3,513,1,17,71,508,476,32,20.0,56.5,20.1,43.5,19.9,1.76,2.63,0.0,2.3,0.0,0.0,100.0,1.76,35.9,30.6,14.9,17006.0,17750.0,14600.0,18125.0,16971.0,313,33.5,266,27.8,35,54.3,100.0,20.8,100.0,18.5,14732.0,0.015302125224252991,12.86061870003476,53.18039624608968,10.601320820298922,19.777546054918318,3.5801181786583243,0.018480704961525332,12.577696526508229,54.6617915904936,10.639853747714808,18.75685557586837,3.3638025594149914,93.7007874015748,6.299212598425196,10.879388251651026,9.245742092457421,1.2165450121654502
11,12001000902,5926,1023,3493,754,5,481,3,23,144,5899,1021,3485,745,5,473,3,23,144,40,36,4,19.5,41.0,19.6,59.0,19.5,1.47,2.56,0.0,11.4,13.9,1.4,86.1,1.48,18.3,14.4,21.0,15577.0,18438.0,13700.0,22625.0,0.0,91,36.3,66,12.1,25,100.0,0.0,76.9,0.0,15.4,0.0,0.03151908031940327,17.26290921363483,58.94363820452244,12.723590955113062,8.116773540330746,2.9530880863989197,0.03986021154224422,17.30801830818783,59.0778097982709,12.62925919647398,8.018308187828445,2.966604509238854,90.0,10.0,1.5356058049274384,1.1137360782990213,0.42186972662841715
12,12001001000,6207,644,5105,141,11,183,1,13,109,5795,606,4767,126,9,178,1,9,99,3001,2758,243,23.6,56.3,23.6,43.7,23.6,2.2,2.59,3.1,6.8,40.0,2.27,60.0,2.14,50.2,44.6,11.2,22150.0,22100.0,155577.0,25054.0,43355.0,848,9.8,636,1.7,148,42.6,26.7,16.7,17.4,12.4,9922.0,0.03301365702709013,10.37538263251168,82.24585145803125,2.2716288061865635,2.9482841952634122,2.1588529080070886,0.039157471755773055,10.457290767903366,82.26056945642796,2.174288179465056,3.0716134598792064,2.0362381363244175,91.9026991002999,8.0973008997001,13.661994522313517,10.246495891735139,2.3844047043660384
13,12001001100,6438,383,5347,347,13,231,4,7,106,5409,295,4593,249,9,202,4,3,54,3163,2938,225,48.7,48.2,44.5,51.8,51.9,2.19,2.77,1.5,14.1,77.7,2.25,22.3,2.0,63.7,60.8,4.1,76375.0,75542.0,0.0,128000.0,126625.0,1730,1.3,1326,0.0,300,7.3,12.3,12.1,15.4,1.8,132625.0,0.03424229481881848,5.949052500776639,83.05374339857099,5.389872631251942,3.5880708294501398,2.019260639950295,0.036549226009832,5.453873174339065,84.91403216860787,4.603438713255685,3.7345165464965793,1.2941393973007949,92.88650015807778,7.113499841922226,26.87169928549239,20.596458527493013,4.659832246039143
14,12001001201,2906,257,2066,312,4,197,0,16,54,2316,186,1714,226,3,150,0,11,26,1283,1233,50,41.0,47.7,38.9,52.3,42.8,2.36,2.91,2.2,2.4,67.0,2.49,33.0,2.09,69.2,68.5,1.0,56693.0,57802.0,70000.0,38720.0,100083.0,683,3.8,541,3.7,75,8.0,15.7,12.9,3.9,6.7,0.0,0.015456369795508929,8.843771507226428,71.0942876806607,10.736407432897453,6.779077770130764,2.5464556090846524,0.015649474475646317,8.031088082901555,74.00690846286702,9.758203799654577,6.476683937823833,1.7271157167530224,96.1028838659392,3.897116134060795,23.503097040605645,18.616655196145903,2.5808671713695803
15,12001001202,6914,708,4696,850,18,452,7,21,162,5473,526,3894,604,8,344,4,11,82,3187,2983,204,34.1,47.6,32.6,52.4,36.4,2.31,2.92,3.2,8.3,67.8,2.34,32.2,2.27,73.0,68.6,6.0,52383.0,55597.0,37375.0,70515.0,35250.0,1677,7.6,1083,5.0,404,18.3,44.8,14.4,9.3,3.9,11800.0,0.03677403329874354,10.240092565808505,67.92016199016489,12.293896442001735,6.537460225629159,3.008388776395719,0.03698168126304503,9.610816736707473,71.14927827516901,11.035994883975881,6.285401059747853,1.918509044399781,93.59899592092877,6.401004079071226,24.255134509690482,15.663870407868094,5.843216661845531
16,12001001203,3657,280,2411,684,8,159,0,14,101,2989,235,2116,427,8,141,0,7,55,1850,1668,182,28.6,47.5,28.5,52.5,28.7,2.18,2.83,4.5,8.6,45.2,2.06,54.8,2.28,72.8,68.5,6.0,44265.0,45466.0,28973.0,40104.0,56151.0,607,8.4,400,9.5,174,7.5,17.7,25.0,3.8,9.5,12167.0,0.019450772313205834,7.656549083948591,65.92835657642877,18.703855619360134,4.3478260869565215,3.3634126333059884,0.020197011747714523,7.862161257945802,70.79290732686518,14.285714285714285,4.717296754767481,2.3419203747072603,90.16216216216216,9.837837837837837,16.598304621274266,10.937927262783703,4.7579983593109105
17,12001001400,4585,194,1700,2596,10,13,2,0,70,3930,155,1589,2127,8,12,2,0,37,1033,942,91,33.8,67.9,32.6,32.1,37.1,2.67,3.2,4.1,8.0,75.7,2.62,24.3,2.82,40.4,35.8,10.3,34107.0,38654.0,32054.0,0.0,0.0,671,28.8,348,11.8,312,45.2,46.8,33.2,35.8,0.0,0.0,0.024386598593395887,4.231188658669574,37.07742639040349,56.61941112322791,0.2835332606324973,1.7884405670665213,0.026555455392612275,3.9440203562340965,40.4325699745547,54.12213740458015,0.3053435114503817,1.1959287531806615,91.19070667957405,8.809293320425944,14.634678298800436,7.589967284623773,6.804798255179935
18,12001001514,1281,196,656,119,1,261,1,15,32,1222,183,641,94,1,257,1,15,30,981,714,267,24.0,51.0,24.4,49.0,23.8,1.79,2.54,5.7,27.1,11.6,1.46,88.4,1.84,73.6,64.6,12.2,19921.0,18294.0,123438.0,30758.0,23958.0,24,41.7,24,41.7,0,0.0,100.0,100.0,44.2,14.3,0.0,0.006813355026857171,15.300546448087433,51.20999219359875,9.289617486338798,20.374707259953162,3.825136612021858,0.008257192491036182,14.975450081833062,52.45499181669394,7.6923076923076925,21.031096563011456,3.8461538461538463,72.78287461773701,27.217125382262996,1.873536299765808,1.873536299765808,0.0
19,12001001515,6343,959,3107,1264,18,821,1,20,153,5945,901,3035,1039,15,802,1,19,133,3335,2843,492,22.1,49.0,22.5,51.0,21.8,2.23,2.5,13.9,12.1,8.4,1.86,91.6,2.27,64.3,59.6,7.3,19363.0,14745.0,21815.0,38167.0,26051.0,444,24.5,184,0.0,164,31.1,47.3,13.6,19.8,23.1,39730.85824619256,0.0337370108784973,15.11902885070156,48.98313101056282,19.927479110830838,12.943402175626675,3.026958852278102,0.040171038755491086,15.155592935239698,51.05130361648445,17.476871320437343,13.490328006728344,2.8259041211101765,85.24737631184408,14.752623688155921,6.999842345893111,2.900835566766514,2.5855273529875453
20,12001001516,2149,282,1231,340,7,212,0,14,63,2008,263,1192,281,7,205,0,7,53,1338,1129,209,23.6,50.3,23.9,49.7,23.2,1.9,2.52,11.4,14.2,13.6,2.06,86.4,1.88,64.6,60.0,7.1,20787.0,16333.0,31453.0,10250.0,4648.0,269,39.8,64,26.6,147,41.5,0.0,36.7,23.2,23.4,55234.0,0.011430054607897004,13.122382503489996,57.28245695672406,15.821312238250348,9.865053513261984,3.908794788273615,0.013568283569558637,13.097609561752988,59.36254980079681,13.99402390438247,10.209163346613547,3.336653386454183,84.3796711509716,15.6203288490284,12.517449976733364,2.9781293624941836,6.840390879478828
21,12001001517,4734,663,2317,1059,5,536,5,19,130,4406,635,2208,908,4,519,5,17,110,2505,2205,300,23.3,47.5,23.9,52.5,22.8,2.08,2.54,6.6,10.7,11.4,1.83,88.6,2.11,55.4,53.3,3.9,18712.0,18341.0,20699.0,17426.0,11528.0,506,21.1,181,21.0,252,19.4,74.0,11.5,16.6,12.1,37946.0,0.025179096562952263,14.005069708491764,48.94381073088297,22.370088719898607,11.322348964934516,3.3586818757921417,0.02977184133838414,14.412165229232865,50.113481615978216,20.608261461643213,11.779391738538356,3.0866999546073535,88.02395209580838,11.976047904191617,10.688635403464302,3.823405154203633,5.323193916349809
22,12001001519,2559,361,1125,397,5,595,1,18,57,2469,348,1081,374,5,588,1,18,54,992,905,87,21.9,48.3,22.6,51.7,21.5,2.83,2.57,33.3,8.1,0.7,2.67,99.3,2.83,62.5,60.7,2.8,13310.0,11845.0,46107.0,8528.0,7528.0,125,24.8,36,0.0,44,70.5,0.0,41.2,25.2,0.0,0.0,0.01361075371875683,14.107073075420084,43.96248534583822,15.513872606486908,23.251270027354433,3.1652989449003512,0.016683312815358703,14.094775212636696,43.782908059943296,15.147833130822194,23.815309842041312,3.1591737545565004,91.22983870967742,8.770161290322582,4.884720593982024,1.406799531066823,1.7194216490816725
23,12001001520,2482,403,1247,576,3,186,4,17,46,2270,367,1204,474,3,176,2,9,35,1245,1054,191,22.6,47.7,23.4,52.3,22.1,2.25,2.68,6.2,15.0,7.1,1.84,92.9,2.28,63.6,53.9,15.2,19175.0,20983.0,17663.0,18958.0,21120.0,224,32.6,104,23.1,96,40.6,28.7,52.8,19.5,10.8,0.0,0.013201207788180716,16.23690572119259,50.24174053182917,23.207091055600323,7.4939564867042705,2.8203062046736505,0.015338647262399457,16.16740088105727,53.03964757709251,20.881057268722465,7.753303964757709,2.158590308370044,84.65863453815261,15.341365461847388,9.024979854955681,4.19016921837228,3.8678485092667207
24,12001001521,4120,580,2183,675,13,507,0,17,145,3746,512,2083,540,12,470,0,16,113,2563,2205,358,23.5,49.2,24.2,50.8,22.8,1.87,2.55,8.2,12.9,7.6,1.88,92.4,1.87,69.5,63.6,8.6,17324.0,18294.0,25536.0,6840.0,5368.0,294,42.5,128,25.0,87,56.3,100.0,24.1,30.6,28.6,31823.197281909364,0.02191336667498169,14.077669902912621,52.98543689320388,16.38349514563107,12.305825242718447,4.247572815533981,0.025312146539624825,13.66791243993593,55.60597971169248,14.415376401494928,12.546716497597437,3.764014949279231,86.03199375731565,13.968006242684355,7.135922330097087,3.1067961165048543,2.111650485436893
25,12001001603,1269,122,961,94,7,49,2,7,27,1144,104,899,56,6,46,2,7,24,661,539,122,25.0,55.4,24.6,44.6,25.8,2.35,2.67,11.3,10.2,49.5,1.99,50.5,2.71,68.0,62.6,8.0,46150.0,43148.0,17976.0,0.0,56786.0,307,4.2,230,5.7,77,0.0,0.0,10.0,23.3,3.8,0.0,0.006749529687027128,9.613869188337274,75.72892040977148,7.4074074074074066,3.8613081166272654,3.38849487785658,0.007730137651182809,9.090909090909092,78.58391608391608,4.895104895104895,4.020979020979021,3.4090909090909087,81.54311649016641,18.456883509833585,24.192277383766744,18.124507486209616,6.067769897557131
