,Id2,TOT_POP,TOT_H,TOT_WA,TOT_BA,TOT_IA,TOT_AA,TOT_NA,TOT_OTHER,TOT_TOM,TOT_18+,TOT_H_18+,TOT_WA_18+,TOT_BA_18+,TOT_IA_18+,TOT_AA_18+,TOT_NA_18+,TOT_OTHER_18+,TOT_TOM_18+,TOT_HOUS_UNITS,OCC_HOUS_UNITS,VAC_HOUS_UNITS,Number; SEX AND AGE - Total population - Median age (years),Percent; SEX AND AGE - Male population,Number; SEX AND AGE - Male population - Median age (years),Percent; SEX AND AGE - Female population,Number; SEX AND AGE - Female population - Median age (years),Number; HOUSEHOLDS BY TYPE - Total households - Average household size,Number; HOUSEHOLDS BY TYPE - Total households - Average family size [7],Number; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent) [8],Number; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent) [9],Percent; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Owner-occupied housing units - Average household size of owner-occupied units,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Renter-occupied housing units - Average household size of renter-occupied units,In labor force; Estimate; Population 16 years and over,Employed; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race)_x,In labor force; Estimate; Hispanic or Latino origin (of any race),Employed; Estimate; Hispanic or Latino origin (of any race),Unemployment rate; Estimate; Hispanic or Latino origin (of any race),Total; Estimate; Households,Median income (dollars); Estimate; Households,Total; Estimate; One race-- - White,Median income (dollars); Estimate; One race-- - White,Total; Estimate; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Total; Estimate; Two or more races,Median income (dollars); Estimate; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race)_y,Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher
10,12001000901,2877,370,1530,305,4,569,1,20,78,2735,344,1495,291,3,513,1,17,71,508,476,32,20.0,56.5,20.1,43.5,19.9,1.76,2.63,(X),2.3,0,0.0,100,1.76,35.9,30.6,14.9,30.7,25.8,15.8,29.6,29.6,0,-,-,-,56.3,50.8,9.6,-,-,-,48.2,48.2,0,56.6,15.8,72.1,365,56.7,51.5,9.2,637,17006,34.4,17750,6.6,14600,0,-,45.5,18125,0,-,3.9,14732,9.6,"2,500-",22.4,16971,100,20.8,100,18.5
11,12001000902,5926,1023,3493,754,5,481,3,23,144,5899,1021,3485,745,5,473,3,23,144,40,36,4,19.5,41,19.6,59,19.5,1.47,2.56,0,11.4,13.9,1.4,86.1,1.48,18.3,14.4,21,18,14.3,20.5,14.6,12.5,14.1,100,100,0,30.5,22.7,25.7,0,0,-,0,0,-,20.8,8.3,60,1313,16.1,14.9,7.5,164,15577,13.4,18438,28,13700,11.6,-,47,22625,0,-,0,-,0,-,4.9,-,-,76.9,-,15.4
12,12001001000,6207,644,5105,141,11,183,1,13,109,5795,606,4767,126,9,178,1,9,99,3001,2758,243,23.6,56.3,23.6,43.7,23.6,2.2,2.59,3.1,6.8,40,2.27,60,2.14,50.2,44.6,11.2,50.5,44.8,11.3,100,100,0,-,-,-,38.6,33.4,13.4,0,0,-,-,-,-,73.8,73.8,0,212,43.4,43.4,0,2550,22150,92.9,22100,0.8,155577,0,-,5.1,25054,0,-,0,-,1.2,9922,4.2,43355,26.7,16.7,17.4,12.4
13,12001001100,6438,383,5347,347,13,231,4,7,106,5409,295,4593,249,9,202,4,3,54,3163,2938,225,48.7,48.2,44.5,51.8,51.9,2.19,2.77,1.5,14.1,77.7,2.25,22.3,2.0,63.7,60.8,4.1,64.4,62.1,3.6,53.5,47.2,0,68.6,22.9,66.7,79.9,73.5,8,-,-,-,0,0,-,20,20,0,231,70.6,70.6,0,2990,76375,88,75542,6.3,"2,500-",0.5,-,4.5,128000,0,-,0,-,0.6,132625,5.7,126625,12.3,12.1,15.4,1.8
14,12001001201,2906,257,2066,312,4,197,0,16,54,2316,186,1714,226,3,150,0,11,26,1283,1233,50,41.0,47.7,38.9,52.3,42.8,2.36,2.91,2.2,2.4,67,2.49,33,2.09,69.2,68.5,1,70.6,70.5,0.1,64.8,64.8,0,-,-,-,74.2,69.2,6.8,-,-,-,-,-,-,8.5,8.5,0,115,69.6,69.6,0,1175,56693,88.6,57802,4.1,70000,0,-,6.9,38720,0,-,0,-,0.4,-,3.7,100083,15.7,12.9,3.9,6.7
15,12001001202,6914,708,4696,850,18,452,7,21,162,5473,526,3894,604,8,344,4,11,82,3187,2983,204,34.1,47.6,32.6,52.4,36.4,2.31,2.92,3.2,8.3,67.8,2.34,32.2,2.27,73,68.6,6,76.3,73.4,3.9,55.1,44,20.2,0,0,-,100,79.1,20.9,-,-,-,52.8,52.8,0,0,0,-,739,70.4,70.4,0,3068,52383,83.2,55597,10.3,37375,0.7,-,3.8,70515,0,-,1.9,11800,0,-,10,35250,44.8,14.4,9.3,3.9
16,12001001203,3657,280,2411,684,8,159,0,14,101,2989,235,2116,427,8,141,0,7,55,1850,1668,182,28.6,47.5,28.5,52.5,28.7,2.18,2.83,4.5,8.6,45.2,2.06,54.8,2.28,72.8,68.5,6,70,67.7,3.4,67.1,55.5,17.4,100,100,0,93.1,93.1,0,-,-,-,100,100,0,55.7,37.7,32.4,382,78.8,75.9,3.7,1494,44265,72.4,45466,17.6,28973,1.1,-,4.6,40104,0,-,2.5,-,1.7,12167,7.8,56151,17.7,25,3.8,9.5
17,12001001400,4585,194,1700,2596,10,13,2,0,70,3930,155,1589,2127,8,12,2,0,37,1033,942,91,33.8,67.9,32.6,32.1,37.1,2.67,3.2,4.1,8,75.7,2.62,24.3,2.82,40.4,35.8,10.3,31.1,29,6.9,46.7,41.7,10.7,50,0,-,-,-,-,-,-,-,0,0,-,30.8,9.6,68.8,149,31.5,31.5,0,901,34107,38.2,38654,58.3,32054,1.8,-,0,-,0,-,0,-,1.8,"2,500-",1.3,-,46.8,33.2,35.8,0
18,12001001514,1281,196,656,119,1,261,1,15,32,1222,183,641,94,1,257,1,15,30,981,714,267,24.0,51,24.4,49,23.8,1.79,2.54,5.7,27.1,11.6,1.46,88.4,1.84,73.6,64.6,12.2,71.2,65.2,8.4,88.1,47.6,45.9,-,-,-,71.7,71.7,0,-,-,-,100,100,0,-,-,-,34,70.6,70.6,0,564,19921,72.7,18294,8.9,123438,0,-,16.3,30758,0,-,2.1,-,0,-,6,23958,100,100,44.2,14.3
19,12001001515,6343,959,3107,1264,18,821,1,20,153,5945,901,3035,1039,15,802,1,19,133,3335,2843,492,22.1,49,22.5,51,21.8,2.23,2.5,13.9,12.1,8.4,1.86,91.6,2.27,64.3,59.6,7.3,63.8,59,7.6,81.2,77.1,5.1,-,-,-,35.9,32.3,10,-,-,-,86.4,86.4,0,80.5,66.7,17.1,782,73.9,72.4,2.1,2343,19363,72.3,14745,17.6,21815,0,-,5.1,38167,0,-,3.1,42656,1.8,3438,15.9,26051,47.3,13.6,19.8,23.1
20,12001001516,2149,282,1231,340,7,212,0,14,63,2008,263,1192,281,7,205,0,7,53,1338,1129,209,23.6,50.3,23.9,49.7,23.2,1.9,2.52,11.4,14.2,13.6,2.06,86.4,1.88,64.6,60,7.1,63.4,59.8,5.8,62.6,59.3,5.2,-,-,-,81.6,69.5,14.8,-,-,-,60.4,33.3,44.8,100,100,0,195,81,74.4,8.2,1046,20787,66,16333,22,31453,0,-,7.6,10250,0,-,2.8,55234,1.6,-,11.2,4648,0,36.7,23.2,23.4
21,12001001517,4734,663,2317,1059,5,536,5,19,130,4406,635,2208,908,4,519,5,17,110,2505,2205,300,23.3,47.5,23.9,52.5,22.8,2.08,2.54,6.6,10.7,11.4,1.83,88.6,2.11,55.4,53.3,3.9,57.7,55.7,3.6,63,61.3,2.7,-,-,-,39.9,39.9,0,-,-,-,20.8,10.8,48.1,82.7,82.7,0,694,55,52.4,4.7,2270,18712,62.8,18341,25.1,20699,0,-,10.7,17426,0,-,0.4,-,1,37946,10.4,11528,74,11.5,16.6,12.1
22,12001001519,2559,361,1125,397,5,595,1,18,57,2469,348,1081,374,5,588,1,18,54,992,905,87,21.9,48.3,22.6,51.7,21.5,2.83,2.57,33.3,8.1,0.7,2.67,99.3,2.83,62.5,60.7,2.8,68.8,68.2,0.9,100,100,0,-,-,-,11.9,11.9,0,100,100,0,100,100,0,100,0,100,530,70.8,70.8,0,871,13310,66.5,11845,10.7,46107,0,-,12.7,8528,4.1,-,2.5,-,3.4,"2,500-",15.3,7528,-,41.2,25.2,0
23,12001001520,2482,403,1247,576,3,186,4,17,46,2270,367,1204,474,3,176,2,9,35,1245,1054,191,22.6,47.7,23.4,52.3,22.1,2.25,2.68,6.2,15,7.1,1.84,92.9,2.28,63.6,53.9,15.2,61.6,48.6,21.1,70.8,65,8.2,-,-,-,53.3,53.3,0,-,-,-,100,100,0,100,100,0,403,69.7,39,44.1,1045,19175,62.4,20983,23.3,17663,0,-,11.8,18958,0,-,1.6,-,1,-,21.9,21120,28.7,52.8,19.5,10.8
24,12001001521,4120,580,2183,675,13,507,0,17,145,3746,512,2083,540,12,470,0,16,113,2563,2205,358,23.5,49.2,24.2,50.8,22.8,1.87,2.55,8.2,12.9,7.6,1.88,92.4,1.87,69.5,63.6,8.6,67.9,63.3,6.7,100,79,21,-,-,-,54.7,51.9,5.1,100,0,100,100,100,0,71.7,71.7,0,285,64.2,44.9,30.1,2085,17324,75.3,18294,8.9,25536,0,-,12.8,6840,0,-,2.1,18462,0.9,38269,11.2,5368,100,24.1,30.6,28.6
25,12001001603,1269,122,961,94,7,49,2,7,27,1144,104,899,56,6,46,2,7,24,661,539,122,25.0,55.4,24.6,44.6,25.8,2.35,2.67,11.3,10.2,49.5,1.99,50.5,2.71,68,62.6,8,75.7,68.4,9.7,21.5,21.5,0,-,-,-,0,0,-,-,-,-,-,-,-,100,100,0,161,100,100,0,569,46150,77,43148,6,17976,0,-,5.3,-,0,-,0,-,11.8,-,8.8,56786,-,10,23.3,3.8
26,12001001604,7644,1083,5024,894,13,431,7,17,175,7146,1028,4736,818,12,390,6,16,140,3929,3536,393,23.2,48.8,23.7,51.2,22.8,2.13,2.56,4.3,8.8,22.8,2.01,77.2,2.16,62.1,60,3.3,63.3,61.6,2.6,57.1,53.2,7,100,100,0,0,0,-,-,-,-,0,0,-,55.5,43.7,21.2,632,57.3,55.1,3.9,2561,21073,87.5,25000,9.3,15254,1,-,1.6,"2,500-",0,-,0,-,0.7,25000,12.6,17147,25.5,15.7,16,10.9
27,12001001701,5895,521,3974,1054,14,192,4,15,121,4854,389,3465,739,10,171,4,7,69,3042,2645,397,34.3,47.3,30.7,52.7,38.7,2.21,2.87,0.9,19.8,48,2.31,52,2.12,65.3,62.2,4.7,60,56.7,5.4,84.8,81.1,4.3,100,100,0,84.4,84.4,0,-,-,-,86.1,86.1,0,55.2,55.2,0,289,79.6,72,9.6,2436,42477,75,44872,17.8,21677,0.5,-,4.1,60227,0,-,0.5,-,2.2,31645,7.8,31302,66,18.6,12,2.4
