,Id2,TOT_POP,TOT_H,TOT_WA,TOT_BA,TOT_IA,TOT_AA,TOT_NA,TOT_OTHER,TOT_TOM,TOT_18+,TOT_H_18+,TOT_WA_18+,TOT_BA_18+,TOT_IA_18+,TOT_AA_18+,TOT_NA_18+,TOT_OTHER_18+,TOT_TOM_18+,TOT_HOUS_UNITS,OCC_HOUS_UNITS,VAC_HOUS_UNITS,Number; SEX AND AGE - Total population - Median age (years),Percent; SEX AND AGE - Male population,Number; SEX AND AGE - Male population - Median age (years),Percent; SEX AND AGE - Female population,Number; SEX AND AGE - Female population - Median age (years),Number; HOUSEHOLDS BY TYPE - Total households - Average household size,Number; HOUSEHOLDS BY TYPE - Total households - Average family size [7],Number; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent) [8],Number; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent) [9],Percent; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Owner-occupied housing units - Average household size of owner-occupied units,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Renter-occupied housing units - Average household size of renter-occupied units,In labor force; Estimate; Population 16 years and over,Employed; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,In labor force; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Employed; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race)_x,In labor force; Estimate; Hispanic or Latino origin (of any race),Employed; Estimate; Hispanic or Latino origin (of any race),Unemployment rate; Estimate; Hispanic or Latino origin (of any race),Total; Estimate; Households,Median income (dollars); Estimate; Households,Total; Estimate; One race-- - White,Median income (dollars); Estimate; One race-- - White,Total; Estimate; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Total; Estimate; Two or more races,Median income (dollars); Estimate; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race)_y,Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher
1333,12057011519,2134,245,1729,44,6,74,2,1,33,1570,167,1288,36,5,59,2,0,13,808,779,29,41.1,50,40.5,50,41.6,2.74,3.09,2.3,3.1,87.9,2.74,12.1,2.73,72.3,67,7.4,72.3,66.6,7.9,100,100,0,-,-,-,56.3,56.3,0,-,-,-,100,100,0,0,0,-,138,77.5,77.5,0,786,104643,91.7,105464,4.6,51957,0,-,2.3,43750,0,-,1.4,-,0,-,11.1,120417,0,0,6.4,1.4
1334,12057011520,4968,524,3845,199,6,252,0,28,114,3485,351,2741,150,6,164,0,21,52,2104,1928,176,35.5,47.9,35.6,52.1,35.4,2.58,3.1,2.4,7.7,60.2,2.81,39.8,2.22,76.3,73.3,4,77.3,74.3,3.9,73.9,67.4,8.7,100,100,0,61.2,61.2,0,-,-,-,100,100,0,100,100,0,141,84.4,84.4,0,1768,108889,86.9,110488,5.9,52371,0,-,6.3,112981,0,-,0.3,-,0.6,-,5.8,102500,-,2.5,5,0.7
1335,12057011521,4268,979,2644,400,8,132,4,4,97,3431,710,2247,302,7,104,4,4,53,2289,2182,107,36.8,46.7,35.7,53.3,37.6,1.96,2.67,3.7,4.1,16.7,2.65,83.3,1.82,73,70.5,3.1,72,70.3,1.9,92.2,78.5,14.8,100,100,0,75.4,75.4,0,-,-,-,-,-,-,52.2,52.2,0,615,87.3,87.3,0,2070,39565,85.4,38418,9.7,34688,0.6,-,1.4,122500,0,-,0,-,2.9,78404,19.2,35859,82,9.5,4.7,1.4
1336,12057011522,3791,567,2673,156,3,327,1,6,58,2845,400,2050,124,3,240,0,3,25,1552,1417,135,42.8,49,42.2,51,43.5,2.68,2.99,2.5,10.4,84.4,2.72,15.6,2.45,66.1,62.6,5.3,67.8,64.3,5.2,0,0,-,-,-,-,59.1,59.1,0,-,-,-,53.8,53.8,0,63.6,44.2,30.6,344,67.4,60.5,10.3,1363,93365,88.3,94135,0,-,0,-,9.7,71667,0,-,1,"250,000+",1,-,11.4,86797,0,0,11.1,1.4
1337,12057011523,1776,312,1262,76,1,87,0,2,36,1272,226,912,52,1,66,0,0,15,577,564,13,40.4,48.6,40.3,51.4,40.5,3.15,3.34,0.6,6.7,92.6,3.12,7.4,3.5,85.5,80.4,6,84.9,78.9,7,100,100,0,-,-,-,100,100,0,-,-,-,70.5,70.5,0,-,-,-,157,40.1,33.8,15.9,554,115000,87.7,111136,0,-,0,-,8.3,247946,0,-,4,73167,0,-,8.8,74917,0,20,8.1,2
1338,12057011524,4822,1235,2834,411,5,202,1,20,114,3877,911,2414,306,5,162,1,16,62,2463,2254,209,35.0,45.2,33.0,54.8,37.0,2.13,2.83,1.8,9.2,29,2.39,71,2.02,74.5,67.4,8.3,70.3,64.6,8.1,100,88.5,0,-,-,-,79.9,63.4,20.7,-,-,-,100,100,0,38.2,38.2,0,900,80.8,72.7,10,2276,44097,74.7,44950,14.5,43278,0,-,6.9,40833,0,-,2.5,41522,1.5,57024,20.3,57857,0,8.8,11.3,14.3
1339,12057011603,4107,1712,1844,370,8,106,0,9,58,3203,1262,1527,279,6,88,0,8,33,1623,1497,126,39.8,47.7,37.7,52.3,41.5,2.74,3.17,2.1,15.5,78.7,2.74,21.3,2.75,67.2,59.4,10.3,65.2,57.4,12,77.6,74,4.6,31.9,0,-,78.1,56.2,0,-,-,-,89.1,83.2,6.6,35.1,35.1,0,1252,72.8,62.2,14.5,1508,55842,79.6,55489,11.7,65642,1.9,62583,1.4,41641,0,-,4,65057,1.3,29423,27.5,55625,14.5,12.4,6.6,1.1
1340,12057011605,6748,4475,1523,479,19,162,2,10,78,5006,3269,1250,317,7,114,2,6,41,2335,2188,147,36.3,48.5,35.3,51.5,37.4,3.08,3.43,1.7,6.7,57.1,3.06,42.9,3.1,69.9,63.7,8.9,68,61.4,9.7,93.9,93.9,0,6.7,6.7,0,100,87,13,-,-,-,54.8,54.8,0,54.4,38.9,28.4,2549,67.8,61.8,8.7,1968,42544,78.3,40326,11.2,44055,1,19083,3.6,46955,0,-,3.5,19688,2.4,9500,52.3,37438,40.6,12.1,6.7,0
1341,12057011606,6233,1525,3692,453,18,398,0,11,136,4908,1096,3062,347,14,305,0,8,76,3153,2651,502,37.2,48.9,36.9,51.1,37.5,2.35,2.91,2.3,21.2,60,2.37,40,2.33,75.2,72,4.3,72.7,68.8,5.3,77.7,77.7,0,-,-,-,83.7,80.4,4,-,-,-,100,100,0,100,100,0,781,75.7,69.7,8,2774,51240,77.3,51811,11.6,46932,0,-,7.9,37283,0,-,2.3,54193,0.9,72188,17.2,51516,19.1,18.8,4.2,2.1
1342,12057011607,7558,2391,4149,435,5,421,0,21,136,5850,1781,3348,322,5,308,0,12,74,3089,2898,191,41.8,48,40.6,52,43.0,2.61,3.06,1.9,6.6,89.4,2.56,10.6,2.97,72.1,66.9,7.1,71.9,66.6,7.3,87.2,87.2,0,77.8,77.8,0,56.7,44.1,22.2,-,-,-,74.8,74.8,0,84.5,84.5,0,1661,74.6,67.5,9.5,2930,52587,89.7,53004,4.8,61346,0,-,2.2,23897,0,-,2.6,26500,0.7,45577,30.5,49886,48.5,10.6,3.2,5.3
1343,12057011608,1089,234,618,98,4,107,1,6,21,807,158,477,76,2,81,0,3,10,390,380,10,40.2,49.5,39.8,50.5,40.7,2.87,3.18,1.4,0,91.6,2.81,8.4,3.44,80.7,75.8,6,80.7,74.7,7.5,100,100,0,0,0,-,64.3,64.3,0,-,-,-,-,-,-,-,-,-,63,82.5,61.9,25,392,110323,87.2,111048,6.6,150469,1.8,-,4.3,-,0,-,0,-,0,-,9.9,44659,0,0,5.3,2.7
1344,12057011610,5142,2795,1827,305,13,108,9,17,68,4024,2086,1551,229,13,91,5,4,45,2248,2070,178,40.6,47.2,38.9,52.8,42.2,2.48,3.18,2.5,9.2,61.3,2.74,38.7,2.09,63.8,55.2,13.6,60.7,55,9.4,62.1,62.1,0,100,0,100,68,68,0,-,-,-,77.6,45.9,40.8,100,100,0,1766,67.5,55.2,18.3,2019,31997,76,37636,12,25476,1,-,1.2,17768,0,-,9.3,16818,0.4,-,38.4,35139,28,16.1,10.1,4
1345,12057011611,4154,2261,1133,368,4,317,0,13,58,3196,1668,948,272,3,256,0,6,43,1674,1502,172,37.2,47.6,35.5,52.4,38.9,2.76,3.22,4.9,12.5,76.4,2.65,23.6,3.11,73.3,67.3,8.2,74.7,68.5,8.3,76.6,74.4,3,100,100,0,52.1,44.7,14.2,-,-,-,78.8,66.9,15.1,60,60,0,1708,71.7,65.3,8.9,1581,46685,78.5,45518,10.7,59659,0,-,6.5,37500,0,-,2.5,51591,1.8,23375,49.7,41961,12.5,4.7,6.8,11.7
1346,12057011612,6423,3076,2518,542,16,139,5,26,101,4985,2274,2122,400,13,108,3,17,48,2639,2414,225,39.0,48.3,37.4,51.7,40.5,2.66,3.11,2.4,11.8,70.2,2.67,29.8,2.63,72.1,66,8.3,73,68,6.8,90.4,69.4,23.3,51.9,51.9,0,84.4,74.9,6.9,-,-,-,63.2,49.1,22.3,40.3,40.3,0,1802,69.5,63.3,8.4,2344,47850,81.3,43421,5.6,75568,2,-,4.2,76213,0,-,4.3,36000,2.5,150701,34.5,37434,22.3,5.5,6.2,6.5
1347,12057011613,5666,2842,2247,392,12,90,2,18,63,4501,2111,1956,296,12,75,2,10,39,2201,1942,259,40.6,49,38.2,51,43.3,2.8,3.2,2.6,17,60.9,2.87,39.1,2.69,66.2,58.9,11.1,64.6,56.8,12.1,68.1,63.8,6.3,100,100,0,60.2,41.9,30.4,-,-,-,100,100,0,69.4,69.4,0,1828,66.8,54.8,18,2086,44153,77.8,42702,14.6,85238,0,-,1.3,-,0,-,3.7,14767,2.6,14000,35.3,29206,32.9,7.6,11.3,4.2
1348,12057011614,6854,3951,1737,735,14,259,2,42,114,5049,2879,1340,518,12,204,2,26,68,2443,2257,186,34.4,49.3,32.7,50.7,35.8,3.02,3.35,3.5,5.8,71.3,3.06,28.7,2.92,68,59.8,12,67.5,60.9,9.7,80.1,58.8,26.6,100,100,0,41.5,41.5,0,-,-,-,60.3,57.1,5.4,0,0,-,2802,68.1,62,8.9,2243,36664,77,35398,15.2,36500,1.2,95588,1.4,38750,0,-,5.3,42000,0,-,47.2,36338,23.6,10.2,9.3,0
1349,12057011615,4156,2243,1252,327,3,235,2,16,78,3077,1576,1008,242,1,192,2,13,43,1685,1554,131,32.5,49.4,32.2,50.6,32.8,2.67,3.18,1.3,9.4,43.2,2.88,56.8,2.52,79.7,70,12.2,78.6,70.7,10.1,93.8,71.9,23.4,-,-,-,47.9,47.9,0,-,-,-,75.8,66.1,12.8,45.5,45.5,0,1482,88.3,76.6,13.2,1738,35568,77.8,37588,12.2,67716,0,-,3.1,14276,0,-,6.6,32150,0.3,-,37.5,32131,31.3,12.5,17.6,0
1350,12057011706,7227,3411,2494,759,14,362,8,31,148,5683,2529,2171,566,8,296,5,27,81,3235,2949,286,32.2,49.3,32.0,50.7,32.5,2.45,3.07,1.4,10.4,37.3,2.86,62.7,2.2,74.9,69.7,6.4,75,70.2,5.8,76.5,72.2,5.6,0,0,-,56.8,56.8,0,-,-,-,73.4,69.5,5.2,92.4,59.7,35.5,2534,72.5,65.9,8.5,2997,41883,74.7,41023,14,37371,0.4,-,2.4,85625,0,-,5.8,28859,2.7,64821,36,41563,22.8,4.4,10.4,3
1351,12057011708,3953,854,2554,261,11,167,6,23,77,3391,645,2311,209,9,144,4,18,51,2342,2098,244,32.2,50,33.1,50,31.2,1.88,2.64,2.3,6.4,25.8,2.22,74.2,1.77,82.2,79,1.8,81.6,78.6,1.2,96.5,96.5,0,100,100,0,66.5,66.5,0,-,-,-,75.6,26.8,64.5,100,100,0,316,81.6,75.3,7.8,1847,62125,81.9,63167,7,42703,1.7,62279,6.1,162879,0,-,1.2,66250,2.2,72500,10.3,60700,0,0,5,0
1352,12057011709,870,89,640,65,1,53,2,2,18,731,71,554,45,1,42,2,1,15,503,454,49,34.3,52.6,36.4,47.4,30.8,1.92,2.72,2.5,9.4,25.8,2.24,74.2,1.8,90.2,88.5,1.9,90.6,88.3,2.6,100,100,0,-,-,-,64.1,64.1,0,-,-,-,-,-,-,-,-,-,50,100,100,0,341,45089,74.8,38933,17.9,87757,0,-,7.3,25096,0,-,0,-,0,-,13.5,38902,100,0,0,16
1353,12057011710,5870,1438,3593,442,24,234,1,20,118,4915,1095,3145,363,21,193,1,12,85,3432,2959,473,34.0,48.8,34.7,51.2,33.4,1.98,2.67,6.1,12.3,37.1,2.14,62.9,1.89,80.7,77.3,3.6,79.7,76.5,3.3,87,83.8,3.7,-,-,-,32.5,32.5,0,-,-,-,100,87.2,12.8,100,100,0,1114,87.6,84.9,3.1,3053,51730,82.4,54003,13.5,43258,0,-,1.3,19352,0,-,2.1,55089,0.8,41579,20.2,48523,34.1,5.3,10.4,1.4
1354,12057011712,4903,1382,3037,284,17,100,1,21,61,4031,1074,2569,230,16,91,1,12,38,2448,2140,308,38.8,51.2,38.0,48.8,39.7,2.29,2.9,5.4,10.4,60.8,2.44,39.2,2.06,68.3,63.5,6.6,69.1,65.4,4.8,77,48.6,36.9,-,-,-,78.3,78.3,0,-,-,-,58.6,58.6,0,40.2,40.2,0,1117,68.2,68.2,0,2180,54254,87.5,56016,5.9,34286,0,-,1.4,52917,0,-,3.3,71500,2,-,24.4,41275,20.9,18.9,1.2,1.7
1355,12057011802,6670,5100,1248,146,1,143,0,7,25,5302,4001,1056,105,1,117,0,1,21,2279,2154,125,41.2,49.5,39.7,50.5,42.9,3.08,3.42,1,5.5,75.2,3.06,24.8,3.16,61.5,54,12.2,61.2,53.9,11.9,48,30.9,35.7,-,-,-,100,100,0,-,-,-,89.2,84.8,4.9,0,0,-,3966,62.4,56.9,8.8,2267,34436,89.5,34583,4.5,8235,0,-,0.5,-,0,-,4.1,82375,1.5,"2,500-",72.1,34209,13.9,14.5,8.8,24.7
1356,12057011803,6738,3296,2109,901,18,282,0,19,113,5090,2380,1776,631,14,229,0,11,49,3337,2951,386,31.7,46.2,30.7,53.8,32.5,2.28,2.91,6.7,10.5,34.4,2.09,65.6,2.39,72,64.7,10.1,73.2,65.8,10.1,69.7,64.9,6.8,-,-,-,85.7,67,21.8,-,-,-,68.4,61.1,10.6,45.9,45.9,0,2422,70.3,62.4,11.2,2918,31590,81.1,30898,6.8,39844,0,-,2.6,34583,0,-,3.9,28558,5.7,30197,48.6,26779,37.3,18.7,23.9,2.9
1357,12057011804,5649,4191,824,220,5,362,3,12,32,4247,3143,658,160,5,252,3,9,17,1926,1794,132,36.6,48.8,34.9,51.2,38.1,3.15,3.37,2.5,5.3,59,3.15,41,3.14,68.1,57.2,15.4,66.6,55.4,16,75.7,64.4,15,0,0,-,73.4,70.7,3.7,-,-,-,74,59.1,20.2,100,78.6,21.4,3332,67.9,55.6,17.2,1846,39335,82.2,39505,5.5,74038,1.1,-,4.9,38889,0,-,5.9,37670,0.4,-,68.7,37184,13.5,16.4,13.5,4.7
1358,12057011901,4746,1880,1746,769,4,241,3,14,89,3892,1458,1551,604,4,191,3,10,71,2945,2325,620,30.3,49.4,30.2,50.6,30.4,2.04,2.82,7.9,15.5,17.2,2.37,82.8,1.97,78.1,65.5,15.8,76.7,66.6,12.6,80.7,61,24.4,0,0,-,78.2,41.8,46.5,-,-,-,100,100,0,100,100,0,1636,72.9,60,17.7,2023,38652,73.9,40308,18.1,34599,0.4,-,2.4,39167,0,-,2.6,23301,2.6,43528,35,33569,34.4,10.4,9.1,1.7
1359,12057011902,7183,4330,2141,440,7,168,2,8,87,5589,3238,1851,301,7,138,2,3,49,2999,2740,259,36.8,49.2,35.7,50.8,38.1,2.61,3.08,2,10,53,2.63,47,2.58,63.4,60,5.3,61.4,58.7,4.4,82.2,72.4,11.9,-,-,-,73.9,66.9,9.5,-,-,-,66,66,0,40.4,40.4,0,3008,67.7,65.1,3.8,2699,39675,82.8,39941,8.2,32112,0,-,5.4,41750,0,-,2.1,41923,1.5,64211,52.4,41236,11.1,6.8,1.5,10.7
1360,12057011904,1803,992,389,345,6,34,0,11,26,1441,743,349,283,4,32,0,8,22,1056,927,129,28.5,48.8,29.8,51.2,27.1,1.94,2.72,7.7,11.6,3.8,1.77,96.2,1.95,85.6,80.9,5.5,86,80.3,6.6,100,100,0,46.9,46.9,0,100,100,0,-,-,-,75.1,68.2,9.2,-,-,-,694,75.9,74.2,2.3,949,33079,70.2,29513,16.4,39364,3.2,-,3.5,-,0,-,6.7,65549,0,-,33.9,22697,0,39.2,8.7,14.8
1361,12057011905,1426,967,351,59,0,24,0,6,19,1119,746,296,45,0,20,0,2,10,577,529,48,37.8,50.1,37.1,49.9,38.3,2.7,3.13,1.1,9.4,51,2.66,49,2.73,67.1,63.4,5.6,70.9,66.9,5.6,42.3,42.3,0,-,-,-,100,100,0,-,-,-,100,0,100,32.1,32.1,0,674,68.2,62.6,8.3,493,38646,84.8,39833,10.5,-,0,-,0,-,0,-,0,-,4.7,27054,62.3,38750,66.5,2.6,16.8,0
1362,12057011906,4375,2560,1196,478,6,83,1,8,43,3350,1884,1003,352,6,68,1,8,28,1791,1676,115,34.5,48.9,33.8,51.1,35.3,2.6,3.15,1.6,7.2,43.1,2.6,56.9,2.61,68.2,60.3,11.6,65.1,58.7,9.9,79.6,65,18.4,100,100,0,88.7,88.7,0,-,-,-,54.7,23.4,57.1,-,-,-,2001,60.6,54.5,10.1,1726,40762,76.4,40862,16.8,40278,3.5,21786,1.4,-,0,-,2,12237,0,-,51.6,41596,13,19.4,0,14.7
1363,12057012001,2511,358,1003,1064,7,36,0,5,38,1920,250,823,792,6,28,0,4,17,1023,935,88,39.6,49.5,37.9,50.5,41.1,2.67,3.17,2.1,11.2,79.7,2.54,20.3,3.18,69.5,63.7,8.4,72,65.9,8.4,63,56.6,10.2,-,-,-,83.1,83.1,0,-,-,-,51.4,51.4,0,-,-,-,210,62.9,58.1,7.6,887,37578,67.3,42764,29,23162,0,-,1.9,57125,0,-,1.8,61250,0,-,11.3,44423,19.6,10.5,11.8,6.4
1364,12057012002,3652,760,1381,1369,5,27,0,4,106,2593,527,1107,874,4,22,0,3,56,1400,1210,190,33.0,50.7,32.1,49.3,34.0,2.97,3.36,4.8,11.4,64,2.83,36,3.24,63.9,53.9,15.7,58.9,51.2,13,73.9,58.7,20.5,55.6,55.6,0,-,-,-,-,-,-,60,41.3,31.1,90,90,0,669,70.3,62.9,10.4,1264,38048,61.8,41683,32.4,31823,1.2,-,0,-,0,-,2.7,26447,2,56094,23.8,37031,36.2,12.4,26.6,22.3
1365,12057012103,5264,1002,2626,1110,29,334,1,27,135,3902,668,2113,761,17,266,1,16,60,2400,2130,270,30.7,49.5,30.4,50.5,31.1,2.47,3.03,5.3,10.8,38.5,2.5,61.5,2.45,75.3,70.3,6.6,74.8,69.1,7.6,79.7,73.6,7.7,100,100,0,68,68,0,-,-,-,60,60,0,87.5,87.5,0,716,84.4,74.2,12.1,2174,47426,67.4,45707,16.6,49023,2.3,16594,10.8,58519,0,-,1.8,215417,1.1,40703,16.6,36848,20.3,3.8,2.7,8
1366,12057012104,6993,1743,4045,935,40,86,12,4,128,5071,1122,3177,590,34,67,9,1,71,2964,2632,332,32.6,48.2,31.7,51.8,33.6,2.63,3.11,2.5,12.3,51.2,2.63,48.8,2.64,61,57.8,4.6,62.5,58.8,5.3,51.5,49.6,3.7,31,31,0,100,100,0,-,-,-,77.8,77.8,0,33.9,33.9,0,1047,78.8,75.6,1.6,2491,37226,81.1,39151,11.9,24241,1.2,16813,0.4,-,0,-,1.4,80652,4.1,25243,16,42563,15.8,15.8,21.6,3.6
1367,12057012106,4849,732,3205,598,4,200,1,25,84,3673,459,2590,405,4,160,1,15,39,1863,1712,151,39.5,50.8,38.4,49.2,40.6,2.83,3.17,3.8,11.7,86.9,2.76,13.1,3.3,70.2,66.2,5.3,69.7,65.4,5.7,71,65.4,7.8,0,0,-,85.3,85.3,0,-,-,-,71.9,71.9,0,69.1,69.1,0,363,77.7,72.5,6.7,1525,68514,79.6,71591,11,52969,0,-,3.9,120195,0,-,0.7,-,4.9,105242,8.7,52308,26.9,6.4,8.4,4.2
1368,12057012107,4845,1138,2798,688,17,83,1,12,108,3425,697,2165,428,15,65,0,5,50,1872,1676,196,32.1,48.4,31.5,51.6,32.6,2.87,3.25,2.2,9.7,53.9,2.79,46.1,2.97,76.8,70.8,7.9,74.5,72,3.3,90,69.8,22.4,100,100,0,0,0,-,-,-,-,78.3,78.3,0,59.1,31.8,46.2,544,78.5,78.5,0,1751,43442,80.7,44812,15.5,35521,0,-,0.9,-,0,-,1.3,74712,1.7,37969,17.2,48362,18.9,6.2,10,12
1369,12057012108,3010,544,1931,383,14,92,1,0,45,2227,349,1532,248,9,65,1,0,23,1187,1109,78,36.9,47.6,36.4,52.4,37.6,2.71,3.18,2.7,7.6,77.2,2.63,22.8,2.99,71,65.2,6.9,73.9,67.8,8.3,61.4,55.5,0,100,0,-,-,-,-,-,-,-,62.3,62.3,0,55.9,55.9,0,269,77,77,0,1125,50586,75.1,44539,13.3,52273,0.4,-,0,-,0,-,2.7,81875,8.5,54107,11.3,73977,7.1,11.5,9.5,0
1370,12057012206,5917,997,3696,833,16,246,31,7,91,4464,696,2897,592,13,189,18,6,53,2251,2115,136,39.0,48.5,37.8,51.5,39.9,2.79,3.12,2.3,9.6,85.7,2.72,14.3,3.22,70.9,65.7,7.1,68.8,64.6,6.1,75.9,68.6,9.6,-,-,-,83.8,76.6,8.6,-,-,-,38,38,0,100,80.4,15.2,918,60.1,52.2,11.5,2005,59276,84,61213,9.2,53287,0,-,2.4,49375,0,-,0,-,4.4,80438,20.2,54500,4.7,7.6,1.8,3.1
1371,12057012207,6761,1136,4626,652,28,185,4,15,115,5083,748,3658,448,18,133,3,9,66,2520,2367,153,38.7,49.5,38.0,50.5,39.4,2.85,3.16,1.9,9.3,87.3,2.82,12.7,3.09,68.9,64.7,4.5,70.3,66.7,4.5,65.5,61.2,6.6,0,0,-,57.7,37.3,0,-,-,-,70,70,0,0,0,-,741,73.8,63.7,10.4,2497,71513,83.1,71382,10.6,76652,0.3,-,1.7,59567,0,-,4.3,44605,0,-,10.5,52237,17.3,2.7,3.4,0
1372,12057012208,6208,1015,4081,692,20,231,4,22,143,4612,661,3200,485,16,170,4,12,64,2237,2108,129,39.1,49,38.1,51,40.0,2.94,3.2,1.8,7.1,88.8,2.88,11.2,3.47,65.8,61.7,5.8,68.2,63.7,6.1,68.5,68.5,0,-,-,-,52.5,47.1,10.1,-,-,-,63.9,63.9,0,25.9,25.9,0,949,65.6,61.1,6.9,2109,62468,83.1,65223,5.5,57813,0,-,5.3,44783,0,-,1.8,40114,4.4,22153,21.3,54750,1.7,8.6,3,1.5
1373,12057012209,4638,1062,2631,511,13,295,0,14,112,3232,684,1910,351,11,213,0,8,55,1630,1467,163,34.5,50.9,34.0,49.1,34.9,3.16,3.38,4.6,8,76.8,3.0,23.2,3.7,71.2,64.4,9.6,65.8,59.3,9.9,83.6,76,9,0,0,-,77.7,74.6,4,-,-,-,81.9,65.1,20.6,100,86.4,13.6,953,68.3,56.2,17.7,1519,74609,73.4,79073,11,51344,0.3,-,11.6,98714,0,-,3,58839,0.7,-,21.2,43750,49.2,10.3,2.3,0
1374,12057012210,4530,1031,2858,440,17,103,6,6,69,3445,682,2332,308,5,75,2,2,39,2152,1872,280,39.1,46.9,37.6,53.1,40.4,2.37,2.95,5.7,8,74.1,2.27,25.9,2.67,54.4,50.1,7.9,53.8,50.6,6.1,44.3,28.7,35.2,49.2,28.8,41.4,69.6,69.6,0,-,-,-,82.6,82.6,0,41.7,41.7,0,617,70.8,64.8,8.5,1658,43081,88.6,43340,5.7,65833,0.7,-,0,-,0,-,2.8,42188,2.2,32143,17,39712,12.5,11.4,11.1,14.3
1375,12057012211,2688,477,1003,1202,1,5,0,0,0,2461,459,910,1088,1,3,0,0,0,80,60,20,29.7,87.9,29.2,12.1,34.5,2.68,3.0,2.9,13.3,56.7,2.47,43.3,2.96,12.6,7.8,9.1,18.7,12.3,0,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,17.9,0,100,267,14.6,14.6,0,100,46481,100,46481,0,-,0,-,0,-,0,-,0,-,0,-,39,-,60.6,10.9,0,-
1376,12057012212,4506,1439,1513,1289,14,107,1,39,104,3080,903,1196,813,14,79,1,22,52,1877,1772,105,26.4,45,25.0,55,27.9,2.54,3.09,1.7,4.7,26.6,2.43,73.4,2.58,74.1,67.9,8.3,76,70.4,7.4,80.2,71.8,10.5,-,-,-,45.3,45.3,0,-,-,-,19.5,19.5,0,72.9,52.5,27.9,932,75.2,67.6,10.1,1843,37559,66.3,38887,25.5,35654,0,-,3.1,51250,0,-,2.8,19219,2.3,19420,28.6,24057,0,14,25.1,8.5
